job_description,skill
"GENERAL DESCRIPTION: THE BUSINESS DEVELOPMENT UNIT (BDU) SPECIALIST IS PRIMARILY RESPONSIBLE AND FOCUSED ON SUPPORTING PREMIER NATIONAL AGENCY RELATIONSHIPS (CLIENTS) AS DEVELOPED AND ASSIGNED BY SALES MANAGEMENT. THIS POSITION ALSO FOCUSES ON THE GROWING AND DEVELOPMENT OF NEW BUSINESS INITIATIVES, INCLUDING BUT NOT LIMITED TO PROVIDING TRANSACTIONAL, ADMINISTRATIVE AND TECHNICAL SUPPORT FOR PROCESSING. THE BDU SPECIALIST IS RESPONSIBLE FOR SUPPORTING BDU MANAGEMENT IN COMMUNITY EVALUATION, BOOK ROLL PROCESSING, NEW BUSINESS REVIEW, RELATIONSHIP DEVELOPMENT, TROUBLESHOOTING RATING DIFFERENCES, ERROR CORRECTION, TRANSACTIONAL SUPPORT AND PROCESSING AS INSTRUCTED AND WITHIN LEVEL OF AUTHORITY ASSIGNED. WILL ASSIST IN TEAM PROJECTS AS INSTRUCTED AND NECESSARY TO MAINTAIN A HIGH LEVEL OF QUALITY AND TIMELY BUSINESS DEVELOPMENT AND PRE-SALE SUPPORT TO TEAM MEMBER STANDARDS. ESSENTIAL DUTIES AND RESPONSIBILITIES: FOSTER RELATIONSHIPS WITH KEY STAKEHOLDERS BOTH INTERNALLY AND EXTERNALLY, ESPECIALLY WITH TARGETED NATIONAL ‘HIGH VOLUME’ PRODUCTION ACCOUNTS. READ, ANALYZE, FOLLOW PROCEDURES, AND MAINTAIN TRANSACTIONAL DOCUMENTATION. SOLVE PRACTICAL PROBLEMS AND DEAL WITH A VARIETY OF VARIABLES, REFERRING TO SUPERVISOR IF NEEDED. REPORT DISCREPANCIES IN PROCEDURES AND POLICY DETAILS TO MANAGEMENT, AS NECESSARY. MAINTAIN POSITIVE MARKET IMAGE AND FOCUS ACTION ON NEW BUSINESS CUSTOMER SATISFACTIONS. FOLLOW A VARIETY OF INSTRUCTIONS FURNISHED IN WRITTEN, ORAL, OR DIAGRAM FORM. ACCEPT, ACKNOWLEDGE, AND PROCESS NEW BUSINESS AND RELATED ENDORSEMENTS AND DOCUMENTATION WITHIN LEVEL OF AUTHORITY DESIGNATED IN THE BDU. INDEX AND ROUTE BDU INBOUND DOCUMENTS, FAXES, EMAILS AND TRANSACTIONS INTO IMAGE SYSTEM. UNDERSTAND OVERALL DEPARTMENTAL SUPPORT OBJECTIVES AND MAINTAIN A WILLINGNESS TO EXECUTE BDU STRATEGIES TO ACHIEVE THESE GOALS WITHIN THE ROLE. PROVIDE SUPPORT AS NEEDED IN THE COMMUNITY ANALYSIS PROCESS. SUPPORT AND MAINTAIN A STRONG WORKING RELATIONSHIP WITH HIGH PROFILE/HIGH PRODUCTION DISTRIBUTION PARTNERS TARGETED FOR LARGE-SCALE PRODUCTION. PROCESS, EFFECTIVELY AND ACCURATELY, TARGETED NEW BUSINESS PRODUCTION, BOOK ROLLS, AND SPECIALIZED NEW BUSINESS OPPORTUNITIES IN A HIGH-VOLUME ENVIRONMENT. PERFORM OTHER DUTIES AS ASSIGNED. SUPPLEMENTARY INFORMATION THIS JOB DESCRIPTION HAS BEEN PREPARED TO INDICATE THE GENERAL NATURE AND LEVEL OF THE WORK THAT EMPLOYEES PERFORM WITHIN THEIR CLASSIFICATION. THIS DESCRIPTION IS NOT AND CANNOT BE INTERPRETED AS AN INVENTORY OF ALL THE DUTIES, TASKS, RESPONSIBILITIES AND QUALIFICATIONS REQUIRED FOR THE EMPLOYEES ASSIGNED TO THIS JOB. EDUCATION AND / OR EXPERIENCE: HIGH SCHOOL DIPLOMA OR EQUIVALENT. SOME COLLEGE OR POST-SECONDARY TRAINING IN BUSINESS OPERATIONS OR INSURANCE IS PREFERRED. MINIMUM OF FIVE (5) YEARS OF RELATED EXPERIENCE AND/OR TRAINING. WORKING KNOWLEDGE OF GUIDEWIRE PLATFORM. MUST BE DETAIL-ORIENTED AND POSSESS GOOD INTERPERSONAL AND PROBLEM-SOLVING SKILLS. MUST BE FLEXIBLE AND ABLE TO ADAPT IN A CHANGING BUSINESS ENVIRONMENT. MUST HAVE THE ABILITY TO KEYBOARD ENTER AT A SPEED OF NOT LESS THAN 50 WPM. BASIC KNOWLEDGE AND UNDERSTANDING OF MICROSOFT OFFICE SUITE. MUST BE WILLING TO WORK FLEXIBLE SCHEDULES TO SUPPORT MULTIPLE TIME ZONES. MUST BE WILLING TO TRAVEL FOR CLIENT MEETINGS OR TRAINING PURPOSES. MUST POSSESS STRONG COMMUNICATION, ORGANIZATIONAL AND TEAMWORK SKILLS. LICENSES AND / OR CERTIFICATIONS: 2-20 OR 440 LICENSES PREFERRED.","organizational skills"
"GENERAL DESCRIPTION: THE BUSINESS DEVELOPMENT UNIT (BDU) SPECIALIST IS PRIMARILY RESPONSIBLE AND FOCUSED ON SUPPORTING PREMIER NATIONAL AGENCY RELATIONSHIPS (CLIENTS) AS DEVELOPED AND ASSIGNED BY SALES MANAGEMENT. THIS POSITION ALSO FOCUSES ON THE GROWING AND DEVELOPMENT OF NEW BUSINESS INITIATIVES, INCLUDING BUT NOT LIMITED TO PROVIDING TRANSACTIONAL, ADMINISTRATIVE AND TECHNICAL SUPPORT FOR PROCESSING. THE BDU SPECIALIST IS RESPONSIBLE FOR SUPPORTING BDU MANAGEMENT IN COMMUNITY EVALUATION, BOOK ROLL PROCESSING, NEW BUSINESS REVIEW, RELATIONSHIP DEVELOPMENT, TROUBLESHOOTING RATING DIFFERENCES, ERROR CORRECTION, TRANSACTIONAL SUPPORT AND PROCESSING AS INSTRUCTED AND WITHIN LEVEL OF AUTHORITY ASSIGNED. WILL ASSIST IN TEAM PROJECTS AS INSTRUCTED AND NECESSARY TO MAINTAIN A HIGH LEVEL OF QUALITY AND TIMELY BUSINESS DEVELOPMENT AND PRE-SALE SUPPORT TO TEAM MEMBER STANDARDS. ESSENTIAL DUTIES AND RESPONSIBILITIES: FOSTER RELATIONSHIPS WITH KEY STAKEHOLDERS BOTH INTERNALLY AND EXTERNALLY, ESPECIALLY WITH TARGETED NATIONAL ‘HIGH VOLUME’ PRODUCTION ACCOUNTS. READ, ANALYZE, FOLLOW PROCEDURES, AND MAINTAIN TRANSACTIONAL DOCUMENTATION. SOLVE PRACTICAL PROBLEMS AND DEAL WITH A VARIETY OF VARIABLES, REFERRING TO SUPERVISOR IF NEEDED. REPORT DISCREPANCIES IN PROCEDURES AND POLICY DETAILS TO MANAGEMENT, AS NECESSARY. MAINTAIN POSITIVE MARKET IMAGE AND FOCUS ACTION ON NEW BUSINESS CUSTOMER SATISFACTIONS. FOLLOW A VARIETY OF INSTRUCTIONS FURNISHED IN WRITTEN, ORAL, OR DIAGRAM FORM. ACCEPT, ACKNOWLEDGE, AND PROCESS NEW BUSINESS AND RELATED ENDORSEMENTS AND DOCUMENTATION WITHIN LEVEL OF AUTHORITY DESIGNATED IN THE BDU. INDEX AND ROUTE BDU INBOUND DOCUMENTS, FAXES, EMAILS AND TRANSACTIONS INTO IMAGE SYSTEM. UNDERSTAND OVERALL DEPARTMENTAL SUPPORT OBJECTIVES AND MAINTAIN A WILLINGNESS TO EXECUTE BDU STRATEGIES TO ACHIEVE THESE GOALS WITHIN THE ROLE. PROVIDE SUPPORT AS NEEDED IN THE COMMUNITY ANALYSIS PROCESS. SUPPORT AND MAINTAIN A STRONG WORKING RELATIONSHIP WITH HIGH PROFILE/HIGH PRODUCTION DISTRIBUTION PARTNERS TARGETED FOR LARGE-SCALE PRODUCTION. PROCESS, EFFECTIVELY AND ACCURATELY, TARGETED NEW BUSINESS PRODUCTION, BOOK ROLLS, AND SPECIALIZED NEW BUSINESS OPPORTUNITIES IN A HIGH-VOLUME ENVIRONMENT. PERFORM OTHER DUTIES AS ASSIGNED. SUPPLEMENTARY INFORMATION THIS JOB DESCRIPTION HAS BEEN PREPARED TO INDICATE THE GENERAL NATURE AND LEVEL OF THE WORK THAT EMPLOYEES PERFORM WITHIN THEIR CLASSIFICATION. THIS DESCRIPTION IS NOT AND CANNOT BE INTERPRETED AS AN INVENTORY OF ALL THE DUTIES, TASKS, RESPONSIBILITIES AND QUALIFICATIONS REQUIRED FOR THE EMPLOYEES ASSIGNED TO THIS JOB. EDUCATION AND / OR EXPERIENCE: HIGH SCHOOL DIPLOMA OR EQUIVALENT. SOME COLLEGE OR POST-SECONDARY TRAINING IN BUSINESS OPERATIONS OR INSURANCE IS PREFERRED. MINIMUM OF FIVE (5) YEARS OF RELATED EXPERIENCE AND/OR TRAINING. WORKING KNOWLEDGE OF GUIDEWIRE PLATFORM. MUST BE DETAIL-ORIENTED AND POSSESS GOOD INTERPERSONAL AND PROBLEM-SOLVING SKILLS. MUST BE FLEXIBLE AND ABLE TO ADAPT IN A CHANGING BUSINESS ENVIRONMENT. MUST HAVE THE ABILITY TO KEYBOARD ENTER AT A SPEED OF NOT LESS THAN 50 WPM. BASIC KNOWLEDGE AND UNDERSTANDING OF MICROSOFT OFFICE SUITE. MUST BE WILLING TO WORK FLEXIBLE SCHEDULES TO SUPPORT MULTIPLE TIME ZONES. MUST BE WILLING TO TRAVEL FOR CLIENT MEETINGS OR TRAINING PURPOSES. MUST POSSESS STRONG COMMUNICATION, ORGANIZATIONAL AND TEAMWORK SKILLS. LICENSES AND / OR CERTIFICATIONS: 2-20 OR 440 LICENSES PREFERRED.","relationship development"
"GENERAL DESCRIPTION: THE BUSINESS DEVELOPMENT UNIT (BDU) SPECIALIST IS PRIMARILY RESPONSIBLE AND FOCUSED ON SUPPORTING PREMIER NATIONAL AGENCY RELATIONSHIPS (CLIENTS) AS DEVELOPED AND ASSIGNED BY SALES MANAGEMENT. THIS POSITION ALSO FOCUSES ON THE GROWING AND DEVELOPMENT OF NEW BUSINESS INITIATIVES, INCLUDING BUT NOT LIMITED TO PROVIDING TRANSACTIONAL, ADMINISTRATIVE AND TECHNICAL SUPPORT FOR PROCESSING. THE BDU SPECIALIST IS RESPONSIBLE FOR SUPPORTING BDU MANAGEMENT IN COMMUNITY EVALUATION, BOOK ROLL PROCESSING, NEW BUSINESS REVIEW, RELATIONSHIP DEVELOPMENT, TROUBLESHOOTING RATING DIFFERENCES, ERROR CORRECTION, TRANSACTIONAL SUPPORT AND PROCESSING AS INSTRUCTED AND WITHIN LEVEL OF AUTHORITY ASSIGNED. WILL ASSIST IN TEAM PROJECTS AS INSTRUCTED AND NECESSARY TO MAINTAIN A HIGH LEVEL OF QUALITY AND TIMELY BUSINESS DEVELOPMENT AND PRE-SALE SUPPORT TO TEAM MEMBER STANDARDS. ESSENTIAL DUTIES AND RESPONSIBILITIES: FOSTER RELATIONSHIPS WITH KEY STAKEHOLDERS BOTH INTERNALLY AND EXTERNALLY, ESPECIALLY WITH TARGETED NATIONAL ‘HIGH VOLUME’ PRODUCTION ACCOUNTS. READ, ANALYZE, FOLLOW PROCEDURES, AND MAINTAIN TRANSACTIONAL DOCUMENTATION. SOLVE PRACTICAL PROBLEMS AND DEAL WITH A VARIETY OF VARIABLES, REFERRING TO SUPERVISOR IF NEEDED. REPORT DISCREPANCIES IN PROCEDURES AND POLICY DETAILS TO MANAGEMENT, AS NECESSARY. MAINTAIN POSITIVE MARKET IMAGE AND FOCUS ACTION ON NEW BUSINESS CUSTOMER SATISFACTIONS. FOLLOW A VARIETY OF INSTRUCTIONS FURNISHED IN WRITTEN, ORAL, OR DIAGRAM FORM. ACCEPT, ACKNOWLEDGE, AND PROCESS NEW BUSINESS AND RELATED ENDORSEMENTS AND DOCUMENTATION WITHIN LEVEL OF AUTHORITY DESIGNATED IN THE BDU. INDEX AND ROUTE BDU INBOUND DOCUMENTS, FAXES, EMAILS AND TRANSACTIONS INTO IMAGE SYSTEM. UNDERSTAND OVERALL DEPARTMENTAL SUPPORT OBJECTIVES AND MAINTAIN A WILLINGNESS TO EXECUTE BDU STRATEGIES TO ACHIEVE THESE GOALS WITHIN THE ROLE. PROVIDE SUPPORT AS NEEDED IN THE COMMUNITY ANALYSIS PROCESS. SUPPORT AND MAINTAIN A STRONG WORKING RELATIONSHIP WITH HIGH PROFILE/HIGH PRODUCTION DISTRIBUTION PARTNERS TARGETED FOR LARGE-SCALE PRODUCTION. PROCESS, EFFECTIVELY AND ACCURATELY, TARGETED NEW BUSINESS PRODUCTION, BOOK ROLLS, AND SPECIALIZED NEW BUSINESS OPPORTUNITIES IN A HIGH-VOLUME ENVIRONMENT. PERFORM OTHER DUTIES AS ASSIGNED. SUPPLEMENTARY INFORMATION THIS JOB DESCRIPTION HAS BEEN PREPARED TO INDICATE THE GENERAL NATURE AND LEVEL OF THE WORK THAT EMPLOYEES PERFORM WITHIN THEIR CLASSIFICATION. THIS DESCRIPTION IS NOT AND CANNOT BE INTERPRETED AS AN INVENTORY OF ALL THE DUTIES, TASKS, RESPONSIBILITIES AND QUALIFICATIONS REQUIRED FOR THE EMPLOYEES ASSIGNED TO THIS JOB. EDUCATION AND / OR EXPERIENCE: HIGH SCHOOL DIPLOMA OR EQUIVALENT. SOME COLLEGE OR POST-SECONDARY TRAINING IN BUSINESS OPERATIONS OR INSURANCE IS PREFERRED. MINIMUM OF FIVE (5) YEARS OF RELATED EXPERIENCE AND/OR TRAINING. WORKING KNOWLEDGE OF GUIDEWIRE PLATFORM. MUST BE DETAIL-ORIENTED AND POSSESS GOOD INTERPERSONAL AND PROBLEM-SOLVING SKILLS. MUST BE FLEXIBLE AND ABLE TO ADAPT IN A CHANGING BUSINESS ENVIRONMENT. MUST HAVE THE ABILITY TO KEYBOARD ENTER AT A SPEED OF NOT LESS THAN 50 WPM. BASIC KNOWLEDGE AND UNDERSTANDING OF MICROSOFT OFFICE SUITE. MUST BE WILLING TO WORK FLEXIBLE SCHEDULES TO SUPPORT MULTIPLE TIME ZONES. MUST BE WILLING TO TRAVEL FOR CLIENT MEETINGS OR TRAINING PURPOSES. MUST POSSESS STRONG COMMUNICATION, ORGANIZATIONAL AND TEAMWORK SKILLS. LICENSES AND / OR CERTIFICATIONS: 2-20 OR 440 LICENSES PREFERRED.","guidewire platform"
"GENERAL DESCRIPTION: THE BUSINESS DEVELOPMENT UNIT (BDU) SPECIALIST IS PRIMARILY RESPONSIBLE AND FOCUSED ON SUPPORTING PREMIER NATIONAL AGENCY RELATIONSHIPS (CLIENTS) AS DEVELOPED AND ASSIGNED BY SALES MANAGEMENT. THIS POSITION ALSO FOCUSES ON THE GROWING AND DEVELOPMENT OF NEW BUSINESS INITIATIVES, INCLUDING BUT NOT LIMITED TO PROVIDING TRANSACTIONAL, ADMINISTRATIVE AND TECHNICAL SUPPORT FOR PROCESSING. THE BDU SPECIALIST IS RESPONSIBLE FOR SUPPORTING BDU MANAGEMENT IN COMMUNITY EVALUATION, BOOK ROLL PROCESSING, NEW BUSINESS REVIEW, RELATIONSHIP DEVELOPMENT, TROUBLESHOOTING RATING DIFFERENCES, ERROR CORRECTION, TRANSACTIONAL SUPPORT AND PROCESSING AS INSTRUCTED AND WITHIN LEVEL OF AUTHORITY ASSIGNED. WILL ASSIST IN TEAM PROJECTS AS INSTRUCTED AND NECESSARY TO MAINTAIN A HIGH LEVEL OF QUALITY AND TIMELY BUSINESS DEVELOPMENT AND PRE-SALE SUPPORT TO TEAM MEMBER STANDARDS. ESSENTIAL DUTIES AND RESPONSIBILITIES: FOSTER RELATIONSHIPS WITH KEY STAKEHOLDERS BOTH INTERNALLY AND EXTERNALLY, ESPECIALLY WITH TARGETED NATIONAL ‘HIGH VOLUME’ PRODUCTION ACCOUNTS. READ, ANALYZE, FOLLOW PROCEDURES, AND MAINTAIN TRANSACTIONAL DOCUMENTATION. SOLVE PRACTICAL PROBLEMS AND DEAL WITH A VARIETY OF VARIABLES, REFERRING TO SUPERVISOR IF NEEDED. REPORT DISCREPANCIES IN PROCEDURES AND POLICY DETAILS TO MANAGEMENT, AS NECESSARY. MAINTAIN POSITIVE MARKET IMAGE AND FOCUS ACTION ON NEW BUSINESS CUSTOMER SATISFACTIONS. FOLLOW A VARIETY OF INSTRUCTIONS FURNISHED IN WRITTEN, ORAL, OR DIAGRAM FORM. ACCEPT, ACKNOWLEDGE, AND PROCESS NEW BUSINESS AND RELATED ENDORSEMENTS AND DOCUMENTATION WITHIN LEVEL OF AUTHORITY DESIGNATED IN THE BDU. INDEX AND ROUTE BDU INBOUND DOCUMENTS, FAXES, EMAILS AND TRANSACTIONS INTO IMAGE SYSTEM. UNDERSTAND OVERALL DEPARTMENTAL SUPPORT OBJECTIVES AND MAINTAIN A WILLINGNESS TO EXECUTE BDU STRATEGIES TO ACHIEVE THESE GOALS WITHIN THE ROLE. PROVIDE SUPPORT AS NEEDED IN THE COMMUNITY ANALYSIS PROCESS. SUPPORT AND MAINTAIN A STRONG WORKING RELATIONSHIP WITH HIGH PROFILE/HIGH PRODUCTION DISTRIBUTION PARTNERS TARGETED FOR LARGE-SCALE PRODUCTION. PROCESS, EFFECTIVELY AND ACCURATELY, TARGETED NEW BUSINESS PRODUCTION, BOOK ROLLS, AND SPECIALIZED NEW BUSINESS OPPORTUNITIES IN A HIGH-VOLUME ENVIRONMENT. PERFORM OTHER DUTIES AS ASSIGNED. SUPPLEMENTARY INFORMATION THIS JOB DESCRIPTION HAS BEEN PREPARED TO INDICATE THE GENERAL NATURE AND LEVEL OF THE WORK THAT EMPLOYEES PERFORM WITHIN THEIR CLASSIFICATION. THIS DESCRIPTION IS NOT AND CANNOT BE INTERPRETED AS AN INVENTORY OF ALL THE DUTIES, TASKS, RESPONSIBILITIES AND QUALIFICATIONS REQUIRED FOR THE EMPLOYEES ASSIGNED TO THIS JOB. EDUCATION AND / OR EXPERIENCE: HIGH SCHOOL DIPLOMA OR EQUIVALENT. SOME COLLEGE OR POST-SECONDARY TRAINING IN BUSINESS OPERATIONS OR INSURANCE IS PREFERRED. MINIMUM OF FIVE (5) YEARS OF RELATED EXPERIENCE AND/OR TRAINING. WORKING KNOWLEDGE OF GUIDEWIRE PLATFORM. MUST BE DETAIL-ORIENTED AND POSSESS GOOD INTERPERSONAL AND PROBLEM-SOLVING SKILLS. MUST BE FLEXIBLE AND ABLE TO ADAPT IN A CHANGING BUSINESS ENVIRONMENT. MUST HAVE THE ABILITY TO KEYBOARD ENTER AT A SPEED OF NOT LESS THAN 50 WPM. BASIC KNOWLEDGE AND UNDERSTANDING OF MICROSOFT OFFICE SUITE. MUST BE WILLING TO WORK FLEXIBLE SCHEDULES TO SUPPORT MULTIPLE TIME ZONES. MUST BE WILLING TO TRAVEL FOR CLIENT MEETINGS OR TRAINING PURPOSES. MUST POSSESS STRONG COMMUNICATION, ORGANIZATIONAL AND TEAMWORK SKILLS. LICENSES AND / OR CERTIFICATIONS: 2-20 OR 440 LICENSES PREFERRED.","keyboard entry (50 wpm)"
"DENTAL","vision and wellbeing benefits that enable you to take care of your health. we also offer a competitive 401(k) contribution"
"CONSISTENT WITH APPLICABLE FEDERAL","state and local law."
"ANALYSIS","pricing"
"TRACK ACTIONS","and resolve complex issues in support of h-e-b business development managers (bdms) and assigned categories."
"HARD WORK","and focus on quality and customer service. partner-owned means our most important resources--people--drive the innovation"
"POLICIES","and other h-e-b initiatives manages data entry of cost and retail relationships to support marketing and merchandising strategies uses existing templates and processes to track category performance and run category reports identifies / researches / resolves simple to moderately complex issues with minimal bdm involvement represents bdm in meetings (e.g."
"MERCHANDISING / PROCUREMENT","or store operations experience in merchandising software systems (a plus)"
"VENDOR","cost"
"CONFIGURABLE KITS","and system boards for edge solutions focused on retail"
"AND APPLICATIONS.A PROVEN TRACK RECORD OF GENERATING LEADS","closing deals"
"COMMIT TO SUSTAINABILITY","and promote better health. our clients – many in the health and clean energy space -- are both corporate and nonprofit and based throughout the us and beyond. in taft"
"WITH SUPPORT OF OTHER TEAM MEMBERS","design resources and project coordinator· conduct targeted direct outreach to secure taft introductory meetings and invitations for taft to bid on new business· regularly update taft crm"
"VIDEO","digital"
"NJ","and the position will be required to be at the office two days per week as of january 2024. the position will involve occasional travel"
"SERVICENOW AND MICROSOFT DYNAMICS 365","own enables customers around the world to truly own the data that powers their business."
"AND THROUGH OUR EMERGING TALENT PROGRAM WILL BE OFFERING EARLY CAREER HIRES A COMPREHENSIVE DEVELOPMENT PROGRAM. THROUGH LUNCH AND LEARNS","workshops and events featuring internal and external speakers"
"SOCIAL MEDIA)WORK WITHIN A PROCESS-DRIVEN FRAMEWORK THAT DRIVES CAMPAIGN ACCOUNTABILITYRESEARCH AND ENRICH LEAD DATA TO UNDERSTAND PROSPECTS’ NEEDS","evaluate own’s impact"
"A 401(K) SAVINGS PLAN WITH A 4% EMPLOYER MATCH","discretionary bonuses/incentives"
"RELIGION","sex"
"MONITOR AND REPORT ON ACCOUNTS EXPECTED TO GO INTO REVIEW","seeking a new partner and industry movement of prospective clientscollaborate with the agency marketing team to recommend and review agency content intended to excite and ignite conversations with prospective clientsleverage agency client news"
"COLOR","citizenship status"
"AND RELATIONSHIP-BUILDING","and are eager to contribute your expertise to a collaborative team dedicated to excellence"
"FACILITATING THE SALES PROCESS","and ensuring the seamless transition of closed opportunities into the plan conversion phase. your main goals in this role are to generate revenue"
"AND QUALIFIED RETIREMENT PLAN REGULATIONS. TECHNICAL SKILLS: YOU WILL POSSESS A PROFICIENCY IN MICROSOFT WORD","excel"
"DENTAL","and 401k benefit options for you and your family.we believe in collaboration"
"OUR TEAM CRAVES INNOVATION","commitment to excellence and above all"
"AND EYE CARE – AND PRODUCTS AND SERVICES IN OUR ALLERGAN AESTHETICS PORTFOLIO. FOR MORE INFORMATION ABOUT ABBVIE","please visit us at www.abbvie.com. follow @abbvie on twitter"
"DEVICE","biologic"
"GASTROENTEROLOGY","womens health"
"BREAST AESTHETIC","apcs"
"SICK)","medical/dental/vision insurance and 401(k) to eligible employees. this job is eligible to participate in our short-term incentive programs."
"COMMISSION","incentive"
"SERVING OUR COMMUNITY AND EMBRACING DIVERSITY AND INCLUSION. IT IS ABBVIE’S POLICY TO EMPLOY QUALIFIED PERSONS OF THE GREATEST ABILITY WITHOUT DISCRIMINATION AGAINST ANY EMPLOYEE OR APPLICANT FOR EMPLOYMENT BECAUSE OF RACE","color"
"AND SOCIAL MEDIA OUTREACH.INBOUND LEAD MANAGEMENT: RESPOND TO AND QUALIFY INBOUND MARKETING LEADS","ensuring a smooth transition to our sales team.client relationship management: maintain active engagement with new and existing leads through creative follow-up communications designed to increase customer interest in our software products.market and product understanding: keep current with market trends and the competitive landscape. understand the features and benefits of our software products in the servicenow market to effectively communicate the value proposition to prospective clients.collaborate with sales and marketing: work closely with sales and marketing teams to achieve company sales goals and contribute to team-wide strategies."
"SALES REPRESENTATIVE","or similar role in the it software industry.excellent communication"
"ATTENDING NETWORKING EVENTS","and building various strategic relationships. this position will be primarily based on greater houston - west (cypress"
"AND EXECUTE SALES PLANS","aiming to enhance the impact of data-driven solutions in the healthcare / pharma space. the sales executive will be bolstered by a lead generation team."
"EMPHASIZING DIVERSITY AND INCLUSION.RESPONSIBLE FOR GENERATING $1","000.000.00 annually in new signings."
"AND ANALYTICS","to ensure the alignment of data offerings with the diverse requirements and goals of healthcare / pharma organizations."
"AND OTHER RELEVANT DEPARTMENTS TO ALIGN DATA OFFERINGS WITH THE HEALTHCARE / PHARMA SECTOR.KNOWLEDGE OF DIRECT-TO-CONSUMER AND DIRECT-TO-PRACTITIONER MARKETING PROGRAMS.STRONG BUSINESS","communication and presentation skills and the ability to advocate for the value of data-driven solutions."
"OR RELATED FIELD. MASTER'S DEGREE PREFERRED.8-10+ YEARS OF SUCCESSFUL SALES EXPERIENCE","with a focus on data-driven products or services"
"NOT COOKIES OR DEVICES","across the open web. for more information"
"SOLUTIONS AND SERVICES. EPSILON'S BEST-IN-CLASS IDENTITY GIVES BRANDS A CLEAR","privacy-safe view of their customers"
"COMPREHENSIVE HEALTH COVERAGE","and endless opportunities to advance your career."
"MARITAL STATUS","national origin"
"000-$70","000 doeuncapped commission - 1st year ote $8"
"IN - REMOTETYPE OF POSITION: DIRECT HIRE RESPONSIBILITIES: GENERATE SALES USING TELEPHONE","email communication"
"AND BUSINESS ANALYSIS SERVICES AND SOMETIMES WE SELL THEM OUR PARTNERS’ SOFTWARE PLATFORMS TOO. DO YOU HAVE A GIFT FOR SELLING AND POSSESS A STRONG TECHNICAL APTITUDE? WE ARE LOOKING FOR A BUSINESS DEVELOPMENT MANAGER TO BOOST SALES AND CONTRIBUTE TO OUR LONG-TERM BUSINESS GROWTH. YOU WILL BE TRUSTED TO DIVE IN","develop a strategy"
"TECHNOLOGY","and executive teams proactively conduct research into target organizations to uncover business needs and opportunities and demonstrate knowledge of go-to-market propositions and product offerings"
"APPIAN","jitterbit experience with hubspot"
"BIG DATA","machine learning"
"ENSURING THE ATTAINMENT OF BOOKINGS GOALS. THIS WILL INCLUDE MANAGEMENT OF CHANNEL CONFLICT BETWEEN PARTNER AND DIRECT SALES.OPERATIONAL EXCELLENCE: ENSURE THE INTEGRATION OF PARTNERSHIPS ALIGNS WITH THE OVERALL BUSINESS STRATEGY AND OBJECTIVES.OPTIMIZE PROCESSES AND RESOURCES TO ENSURE THE EFFICIENT EXECUTION OF BUSINESS DEVELOPMENT ACTIVITIES.UNDERSTAND YOUR PARTNERS’ STRENGTHS","weaknesses"
"ENTREPRENEURIAL ENVIRONMENT.PROFICIENT IN GOOGLE SUITE","microsoft office suite and crm software.7+ years of experience in business development or sales"
"RELIABLE SERVICE THAT GETS OUR CUSTOMERS TO THEIR DESTINATIONS ON TIME- AND WE’RE LOOKING TO HIRE TALENTED FOLKS WITH A COMMITMENT TO EXCELLENCE. ROLES AND RESPONSIBILITIES:AS A MEMBER OF NJ TRANSIT’S OFFICE OF BUSINESS DEVELOPMENT (OBD)","leads and performs the administration of the disadvantaged business enterprise (dbe) program requirements for contract compliance"
"ANALYZE AND OPERATIONALIZE PRODUCTIVITY REPORTS.MICROSOFT OFFICE","word"
"ADVERTISING OR OTHER MEANS OF GENERATING INTEREST FROM POTENTIAL CLIENTS. THEY MUST THEN PLAN PERSUASIVE APPROACHES AND PITCHES THAT WILL CONVINCE POTENTIAL CLIENTS TO DO BUSINESS WITH ABM. THEY ARE ALSO REQUIRED TO GROW AND RETAIN EXISTING ACCOUNTS BY PRESENTING NEW SOLUTIONS AND SERVICES TO CLIENTS. BUSINESS DEVELOPMENT MANAGERS WORK WITH MID AND SENIOR LEVEL MANAGEMENT","marketing"
"MAINTAINING","and leveraging your network. understand customer’s needs and perform site surveys. work with operations and sales support teams to develop proposals that meet the client’s needs"
"FOOD & BEVERAGE","etc. track record of being organized"
"COLLABORATING WITH OTHER DEPARTMENTS TO ALIGN SALES EFFORTS WITH BROADER BUSINESS OBJECTIVES","identifying and cultivating target end users"
"401K OR ROTH RETIREMENT PLANS","generous time off and profit sharing."
"THEMED ENTERTAINMENT","digital collaboration and meeting experiences for our customers and partners around the world. a globally recognized innovator in the design"
"FUN","and innovative environment. we encourage employees to take ownership"
"EDUCATION","hospitality"
"SOFTWARE AND ACCESSORIES. OUR INNOVATIVE PRODUCTS AND SOLUTIONS","supported with free training & education and unparalleled customer service"
"LEAD","motivate and mentor a team of business development professionals in engaging potential clients and stakeholders to grow our business"
"AND QUOTE RECORDS. ATTENDING TRAINING TO DEVELOP RELEVANT KNOWLEDGE","techniques"
"INCLUDING DEDICATED LOADS","specialized hauls"
"PRICING","proposals through to closing the deal.5+ years of sales and account management experience in transportation industry"
"THOMPSON COBURN IS REGULARLY RECOGNIZED FOR PROVIDING CLIENTS WITH OUTSTANDING VALUE AND SERVICE. DRIVEN BY OUR CORE VALUES OF INTEGRITY","innovation and diversity"
"PLANS","and projects as directed.  reviews marketing materials carefully for quality"
"CHICAGO","dallas"
